id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
32652,WIIK,small_airport,"Kalijati Airport",-6.53139019012,107.658996582,361,AS,Indonesia,ID,"Jawa Barat (West Java)",ID-JB,JB,"Kalijati-Java Island",0,WIHK,,,,,,"WIIK, Suryadarma, Kalidjati, Karichagi, Kalijaga",50,2015-09-27T02:35:26+00:00
41373,WASU,small_airport,"Kambuaya Airport",-1.316815,132.286987,1422,AS,Indonesia,ID,"Papua Barat Daya (Southwest Papua)",ID-PD,PD,"Kambuaya-Papua Island",0,WASU,WASU,KBX,,,https://id.wikipedia.org/wiki/Bandar_Udara_Kambuaya,Ayamaru,50,2025-09-27T17:23:38+00:00
41374,WAKM,small_airport,"Kamur Airport",-6.1851,138.6372,25,AS,Indonesia,ID,"Papua Selatan (South Papua)",ID-PS,PS,Kamur,0,WAKM,WAKM,KCD,,,,,50,2025-08-03T16:09:42+00:00
31720,WAMK,small_airport,"Kuabang Airport",1.188608,127.896036,40,AS,Indonesia,ID,"Maluku Utara (North Maluku)",ID-MU,MU,Kao,0,WAEK,WAEK,KAZ,,,https://en.wikipedia.org/wiki/Kuabang_Airport,"WAMK, Celebes Island",50,2025-09-27T17:56:47+00:00
31924,WAMN,small_airport,"Melangguane Airport",4.010334,126.673192,3,AS,Indonesia,ID,"Sulawesi Utara (North Sulawesi)",ID-SA,SA,"Karakelong Island",0,WAMN,WAMN,MNA,,,https://en.wikipedia.org/wiki/Melangguane_Airport,,50,2025-06-16T17:45:31+00:00
310443,ID-0074,small_airport,"Kasonaweja Airstrip",-2.3007,138.0327,88,AS,Indonesia,ID,Papua,ID-PA,PA,Kasonaweja,0,,,,KAS,,,WZ31,50,2019-11-15T20:28:52+00:00
310445,ID-0075,small_airport,"Kaure  Airstrip",-3.469809,140.362085,700,AS,Indonesia,ID,Papua,ID-PA,PA,Kaure,0,,,,KAU,,,"Aurina, WZ32",50,2022-10-17T11:16:08+00:00
598454,WRJG,small_airport,"Ures Airstrip",-2.955556,139.621111,525,AS,Indonesia,ID,Papua,ID-PA,PA,Kaureh,0,WRJG,,,,,,,50,2025-06-22T16:31:07+00:00
354036,ID-0218,small_airport,"Kawor Airstrip",-5.232712,140.519992,469,AS,Indonesia,ID,"Papua Selatan (South Papua)",ID-PS,PS,Kawor,0,,,,,,,,50,2022-10-17T11:28:26+00:00
41450,WASE,small_airport,"Kebar Airport",-0.810418,133.054937,1878,AS,Indonesia,ID,"Papua Barat Daya (Southwest Papua)",ID-PD,PD,Kebar,0,WAUK,,KEQ,,,https://id.wikipedia.org/wiki/Bandar_Udara_Kebar,WASE,50,2025-09-27T16:03:54+00:00
